ME   gamma_EE_chiLchiL   gamma_EE_ff   gamma_EE_BB   
8501586.931874368   41.91177108471145   1662.5002225506475   5212.056911894939
8629785.477669703   41.28915675453255   1637.8031879062864   5134.629944743042
8759917.17633117   40.675791582623766   1613.4730365332482   5058.353182844787
8892011.178579481   40.071538169435286   1589.5043182494894   4983.209539490283
9026097.074709749   39.47626115653656   1565.8916638373637   4909.182181798813
9162204.901219992   38.88982719629503   1542.6297838408766   4836.254526948126
9300365.147539595   38.31210492200473   1519.7134673807864   4764.41023845971
9440608.762859225   37.74296491845905   1497.1375809873261   4693.633222539278
9582967.16306374   37.18227969296057   1474.8970674502568   4623.90762447161
9727472.237769641   36.62992364676137   1452.986944686002   4555.217825068936
9874156.357468667   36.08577304692772   1431.402304621614   4487.548437172101
10023052.380778983   35.54970599862316   1410.138312095336   4420.884302203725
10174193.661806056   35.021602417802015   1389.1902037734417   4355.2104867724465
10327614.05761398   34.5013440043105   1368.5532870832521   4290.512279327831
10483347.93581002   33.988814215385595   1348.2229391619185   4226.775186864741
10641430.182243165   33.48389823954875   1328.1946058208744   4163.984931676823
10801896.208818909   32.98648297088692   1308.4638005256518   4102.12744815815
10964781.961431852   32.496456983715774   1289.026103390853   4041.1888796523867
11130123.928017912   32.01371050761937   1269.8771601900592   3981.1555753487905
11297959.146727977   31.53813540286047   1251.0126813804382   3922.0140872242764
11468325.214224776   31.069625136156272   1232.4284411418503   3863.7511670309545
11641260.29410491   30.60807475681394   1214.1202764302216   3806.3537633283836
11816803.12544783   30.15338087322067   1196.0840860449869   3749.8090185599344
11994993.031493781   29.705441629682998   1178.3158297103794   3694.1042661725755
12175869.928452551   29.264156683610178   1160.8115271703723   3639.227027779445
12359474.334445095   28.829427183036458   1143.5672572970627   3585.1650103645707
12545847.37857996   28.401155744477403   1126.5791572123053   3531.906103529131
12735030.810166629   27.9792464311149   1109.8434214223848   3479.43837677859
12927067.00806762   27.563604731306814   1093.3563009655657   3427.750076850202
13121998.99019204   27.15413753741481   1077.1141025722611   3376.8296250800895
13319870.42313163   26.750753124948158   1061.1131878377391   3326.665614809609
13520725.631942779   26.35336113201597   1045.3499724070602   3277.246808830077
13724609.610075625   25.96187253908561   1029.8209251721612   3228.562136865569
13931568.029453035   25.57619964904139   1014.5225674808498   3180.600693093065
14141647.250701543   25.19625606753956   999.4514723575543   3133.3517336994328
14354894.33353656   24.821956683655273   984.6042637356502   3086.804674474732
14571357.047304206   24.453217650816796   969.9776157011866   3040.9490884412357
14791083.881682072   24.089956368023238   955.5682517478551   2995.774703517697
15014124.05754138   23.732091461341046   941.3729440430169   2951.271400218306
15240527.537972907   23.379542765675517   927.388512704641   2907.4292093858276
15470345.039479194   23.03223130681307   913.6118250889789   2864.2383099584194
15703628.043335514   22.690079283730263   900.0397950888243   2821.6890267696176
15940428.807122163   22.353010051165697   886.6693824421972   2779.771828381022
16180800.376430646   22.020948102450635   873.4975920512927   2738.4773249471427
16424796.596746415   21.693819052594876   860.5214733115535   2697.7962661119955
16672472.12551061   21.37154962162399   847.7381194507141   2657.7195389369667
16923882.444364194   21.05406761816344   835.1446668776365   2618.2381658593577
17179083.87157586   20.74130192326766   822.7382945408656   2579.3433026814137
17438133.574658394   20.433182474488124   810.5162232966603   2541.026236589056
17701089.58317422   20.129640250179275   798.4757152864643   2503.278384200208
17968010.80173495   19.83060725403659   786.61407332358   2466.091289641976
18238957.023196384   19.536016499864985   774.9286402889855   2429.456622656487
18513988.942052722   19.245801996573228   763.4167985361091   2393.366176734822
18793168.168032687   18.95989873339131   752.0759693044549   2357.8118672786845
19076557.239900682   18.67824266530746   740.9036121419359   2322.785729789375
19364219.63946607   18.400770698721413   729.897224335787   2288.279918083664
19656219.805803683   18.127420677310855   719.0543403519355   2254.286702536178
19952623.149688788   17.858131368107884   708.3725312826986   2220.7984683478885
20253496.06824971   17.592842447782175   697.8494043026842   2187.8077138403296
20558905.959841404   17.33149448912804   687.4826021327767   2155.3070487751434
20868921.239143338   17.074028947752147   677.2698025120827   2123.2891926986085
21183611.352485   16.820388148959044   667.2087176777251   2091.746973310738
