z   gamma_EE_chiLchiL   gamma_EE_ff   gamma_EE_BB   
0.04778780914741973   0.08245526685184153   3.2707255851230475   18.56790397149897
0.04818663045574859   0.08245066548151075   3.270543064099927   18.535638003120127
0.04858878019529904   0.08244598883852362   3.270357557261436   18.50337739087064
0.048994286144061275   0.08244123571376301   3.2701690166459327   18.471122132593184
0.04940317631185145   0.0824364048793103   3.269977393545975   18.438872225022187
0.04981547894224642   0.0824314950881696   3.2697826384973943   18.40662766375581
0.05023122251453464   0.08242650507398938   3.2695847012682453   18.374388443227616
0.05065043574568333   0.08242143355077992   3.2693835308476036   18.342154556677684
0.05107314759232196   0.08241627921262738   3.26917907543422   18.309925996123262
0.05149938725274262   0.0824110407334042   3.2689712824250337   18.27770275232896
0.05192918416891664   0.08240571676647566   3.2687600984035354   18.245484814776397
