ME1   M_phiR   
4341102.0970734535   1117808.3926575691
4349106.072324534   1119181.9553191932
4357124.805030839   1120557.205814258
4365158.322401657   1121934.1462167725
4373206.651696456   1123312.7786032965
4381269.820224934   1124693.1050529361
4389347.855347174   1126075.1276473575
4397440.784473689   1127458.848470783
4405548.635065534   1128844.2696099954
4413671.434634397   1130231.3931543431
4421809.210742687   1131620.2211957404
4429961.991003635   1133010.755828673
4438129.803081385   1134402.9991502
4446312.674691084   1135796.9532599582
4454510.6335989805   1137192.620260163
4462723.707622527   1138590.0022556155
4470951.924630439   1139989.1013536984
4479195.31254284   1141389.9196643885
4487453.899331323   1142792.4593002535
4495727.713019055   1144196.7223764579
4504016.781680873   1145602.7110107644
4512321.133443373   1147010.4273235383
4520640.796485012   1148419.8734377502
4528975.799036204   1149831.0514789803
4537326.169379419   1151243.9635754216
4545691.935849246   1152658.6118578766
4554073.126832545   1154074.9984597731
4562469.7707685055   1155493.1255171564
4570881.8961487515   1156912.9951686985
4579309.53151744   1158334.6095556985
4587752.705471357   1159757.970822087
4596211.446660011   1161183.0811144281
4604685.783785738   1162609.9425819258
4613175.7456037905   1164038.5573764225
4621681.360922442   1165468.9276524065
4630202.658603089   1166901.0555670147
4638739.667560314   1168334.9432800293
4647292.41676204   1169770.5929538922
4655860.935229591   1171208.0067537
4664445.252037798   1172647.186847211
4673045.3963151   1174088.1354048455
