z   Sigma_E1   Delta_E1   Sigma_E2   Delta_E2   Sigma_E3   Delta_E3   Sigma_nuR   Delta_nuR   Delta_phi_R   Delta_er   Delta_phiR_2m   Delta_psi_L   Delta_phi_L   
3.457945263143715   0.0015173990524641348   -6.444072946035957e-15   0.000541594758666367   1.4089865441558016e-12   0.0003399895660033915   8.401562926745408e-13   0.0035743912893442175   1.0819994746172104e-11   -1.0819994746172104e-11   1.082008132382519e-11   -1.082008132382519e-11   1.9262686699655473e-11   5.0886288573721596e-14
3.748690677625415   0.0013831922211607682   -6.211468949927914e-14   0.00041763170675360514   1.6439726290515626e-12   0.0002477586047657244   9.386518019844914e-13   0.0035786454797529154   1.5794750178032623e-11   -1.5794750178032623e-11   1.5794928942078613e-11   -1.5794928942078613e-11   2.884051360763202e-11   9.69023904181912e-14
4.215128772283907   0.0012036093572158177   -1.8571503817293228e-13   0.0002725419676672153   1.8007804305153293e-12   0.00014787621380284437   9.507850421864586e-13   0.0035867078638828105   2.545729566357248e-11   -2.545729566357248e-11   2.5457733675592106e-11   -2.545773367559211e-11   4.793012429712428e-11   1.9348655721092404e-13
4.681566866942399   0.0010568787214973662   -3.400704509111138e-13   0.0001758444143814508   1.7321716336324026e-12   8.719861879957472e-05   8.408615325018949e-13   0.003596172814815258   3.698352362915062e-11   -3.698352362915062e-11   3.698439298286868e-11   -3.698439298286868e-11   7.10938299399873e-11   3.10063401564331e-13
5.148004961600891   0.000933078075862687   -5.063740567726038e-13   0.0001123263863538858   1.5233022815816448e-12   5.0841092513410855e-05   6.785143881588214e-13   0.0036068093417826164   5.004535164842088e-11   -5.004535164842088e-11   5.0046842436356026e-11   -5.0046842436356026e-11   9.752635474855894e-11   4.342253038854288e-13
5.614443056259383   0.0008254713882971247   -6.648609345507194e-13   7.120254020865208e-05   1.2535388745879193e-12   2.9443828014751937e-05   5.117116900044759e-13   0.0036183215621678993   6.425025434855879e-11   -6.425025434855879e-11   6.425254331739767e-11   -6.425254331739767e-11   1.2631861672005525e-10   5.535474180565483e-13
6.214653428909842   0.0007039645769670538   -8.320064244914675e-13   3.92119941118326e-05   9.054862056081721e-13   1.4449898761869055e-05   3.299076160459379e-13   0.0036339111056435704   8.354878759244448e-11   -8.354878759244448e-11   8.355229622886332e-11   -8.355229622886332e-11   1.653891193933788e-10   6.847879123642688e-13
6.814863801560302   0.0005970932943354863   -9.38551478850772e-13   2.136160675110625e-05   6.126055664778235e-13   7.006781404114857e-06   1.990614640584588e-13   0.003649751919424859   1.0320413898575486e-10   -1.0320413898575486e-10   1.0320896318519809e-10   -1.0320896318519809e-10   2.0507938152755949e-10   7.800577931580587e-13
7.415074174210761   0.0005023582070798451   -9.794125359094266e-13   1.1533068890153025e-05   3.939035175579281e-13   3.358972251788368e-06   1.140770733580807e-13   0.0036652581703241626   1.2247521024496012e-10   -1.2247521024496012e-10   1.2248131280186406e-10   -1.2248131280186406e-10   2.4388879767507086e-10   8.369361067710307e-13
8.01528454686122   0.00041837555433548064   -9.618768799817701e-13   6.200640307121715e-06   2.4309642283660806e-13   1.6176162439460618e-06   6.26282140818435e-14   0.003679967363955021   1.4077736098349338e-10   -1.4077736098349338e-10   1.4078460481906581e-10   -1.4078460481906581e-10   2.806629555218286e-10   8.597927639902783e-13
